,Date,Country,City,Killed,Injured,Total,Description
99,8/3/2002,Pakistan,Multan,1,0,1,A retired Shia banker is killed by radical Sunnis in his shop.
100,9/3/2002,Pakistan,New Karachi,1,1,2,"A doctor is gunned down by Sunnis on motorcycles, who also injure a patient."
101,9/3/2002,Israel,Jerusalem,11,54,65,A Hamas (Islamic Resistance) suicide bomber kills eleven and injures 54 at a crowded cafe.
102,9/3/2002,Israel,Netanya,2,50,52,The Fatah Al-Aqsa Brigades takes credit for killing a 9-month-old infant and one other in grenade attack that also left 50 others injured.
103,10/3/2002,Pakistan,Akora Khattak,2,20,22,"Bomb rocks a local exhibition, killing at least two."
104,10/3/2002,India,Chak Seri,1,1,2,"The Mujahideen abduct two civilians, later executing one of them.  Fate of the other is unknown."
105,11/3/2002,Pakistan,Muzaffargarh,4,0,4,Four people are killed in sectarian violence between Shias and Sunnis.
106,12/3/2002,Israel,Metzuba,6,7,13,"Gunmen disguised in IDF uniforms ambush a bus and kill six, wound seven."
107,12/3/2002,Pakistan,Karimabad,1,0,1,A Shia doctor is gunned down outside his clinic.
108,12/3/2002,India,Kashmir,4,0,4,Four civilians are abducted and murdered by the Mujahideen in separate attacks.
109,13/3/2002,India,Morha Kuthyani,2,0,2,A civilian and his son are shot to death by radical Muslims.
110,13/3/2002,India,Nowshera,2,0,2,Islamic rebels rape a Hindu woman before killing her and her son.  The bodies are left in the forest.
111,14/3/2002,Israel,Gaza,3,2,5,Terrorists detonate a bomb by remote control that kills three Israelis and injures two.
112,16/3/2002,Pakistan,Jhang,5,0,5,Five policemen are gunned down by Islamists.
113,17/3/2002,Pakistan,Islamabad,5,45,50,Grenade attack on a Christian church kills five worshippers including American woman and her 17-year-old daughter. Forty-five others were injured.
114,17/3/2002,Israel,Kfar Saba,1,16,17,"A Palestinian terrorist opens fire on motorists, taking the life of a teenager and injuring sixteen others."
115,18/3/2002,Pakistan,Quetta,1,0,1,A party activist is killed in a sectarian attack.
116,19/3/2002,Algeria,Algiers,0,13,13,Thirteen injured by home-made bomb at the post office set by Islamic fundamentalists.
117,19/3/2002,Algeria,Souq al-Had,4,0,4,Four farmers are ambushed and killed by armed Islamic fundamentalists.
118,19/3/2002,Algeria,Souq al-Had,6,0,6,"Islamic fundamentalists kill six victims, all from the same family. The father and mother were beheaded - the four children mutilated."
119,19/3/2002,USA,"Tuscon, AZ",1,0,1,A 60-year-old man is gunned down by Muslim snipers on a golf course.
120,19/3/2002,Pakistan,Lahore,3,0,3,"Three people, including a professor, are killed in two sectarian attacks."
121,19/3/2002,India,Plangar,1,0,1,Militant Muslims hang a young girl.
122,20/3/2002,India,Dogripora,2,5,7,Two children are killed by a Mujahideen IED blast.
123,20/3/2002,Israel,Musmus,7,30,37,Seven passengers are killed when a Fedayeen suicide bomber blows up a passenger bus.  Thirty others are injured in the blast.
124,21/3/2002,Israel,Jerusalem,3,86,89,Suicide bomber kills three and injures eighty-six when detonating in a crowd of shoppers.
125,21/3/2002,Pakistan,Karachi,1,0,1,The Shia owner of a video shop is gunned down by militant Sunnis.
126,21/3/2002,India,Damhal Hanjipora,0,14,14,Fourteen people are injured when a Muslim radical throws a grenade at a bus stop.
127,22/3/2002,India,Shopian,0,35,35,Thirty-five people sustain injury when a Fedayeen hurls a grenade into a crowded market.
128,23/3/2002,India,Srinagar,2,20,22,A woman is among two people killed by Lashkar-e-Toiba in a grenade attack.
