Country,Gender,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Central Europe and the Baltics,Female,14.39137,14.73086,14.98425,14.86079,15.0923,15.27185,15.48817,15.71456,15.87129,16.03916,15.93485,15.83808,16.39822,16.27521,16.22115,16.12334,16.14792,16.02917
Chad,Female,3.634850025,3.905060053,4.052370071,4.117340088,4.037290096,7.128346,6.915052,4.730110168,5.038239956,5.121359825,5.730319977,7.518429,7.347691,6.295090199,5.880819798,7.693972,7.708672,7.138186
Channel Islands,Female,6.335726,6.746629,6.808572,7.001296,7.073396,7.128346,6.915052,7.1397,7.40053,7.451479,7.6110217,7.518429,7.347691,7.556197,7.85218,7.693972,7.708672,7.138186
Chile,Female,6.335726,13.35838985,13.56818008,13.8508997,14.20016003,14.22609043,14.62709045,14.79605007,14.87730026,15.20998955,15.4805603,15.64486027,16.2505703,16.40596008,16.51844978,16.60816956,16.67012978,16.83295059
China,Female,6.335726,6.746629,6.808572,7.001296,7.073396,11.31046963,11.66582966,11.97745037,12.27143002,12.39836025,7.6110217,7.518429,7.347691,7.556197,7.85218,7.693972,7.708672,7.138186
Colombia,Female,6.335726,11.90540028,6.808572,12.44328022,12.95347023,13.3651104,13.6644001,13.76920033,14.27696991,14.26140022,14.30346966,14.05970955,14.5948,14.52628994,14.59222984,14.71792984,14.68204021,14.66849041
Comoros,Female,6.335726,6.746629,8.716890335,7.001296,7.073396,7.128346,6.915052,7.1397,7.40053,7.451479,7.6110217,7.518429,11.08565998,11.11118031,7.85218,7.693972,7.708672,7.138186
"Congo, Dem. Rep.",Female,6.335726,6.746629,6.808572,7.001296,7.073396,7.128346,6.667220116,7.397640228,7.516789913,7.451479,8.183870316,8.151789665,8.522999763,7.556197,7.85218,7.693972,7.708672,7.138186
"Congo, Rep.",Female,6.335726,8.454640388,8.158699989,7.001296,7.073396,7.128346,6.915052,7.1397,7.40053,7.451479,7.6110217,10.58283043,7.347691,7.556197,7.85218,7.693972,7.708672,7.138186
Costa Rica,Female,6.335726,6.746629,6.808572,12.26574039,7.073396,7.128346,6.915052,7.1397,7.40053,7.451479,14.61832047,14.82616997,15.11894989,15.5142498,15.68449974,15.86865997,16.20261955,16.40505981
Cote d'Ivoire,Female,6.335726,6.746629,6.808572,7.001296,7.073396,7.128346,6.915052,7.1397,7.40053,7.451479,7.6110217,7.518429,7.347691,7.496379852,7.921500206,8.527420044,9.048769951,7.138186
Croatia,Female,12.72752953,13.08584023,13.47583961,7.001296,14.29920959,14.63761044,14.69038963,14.6008997,14.61306,15.09514999,15.18885994,15.41730976,15.81173992,15.93918037,15.91065025,15.89955997,15.95024014,15.92405033
Cuba,Female,12.75045013,13.03073978,13.53534985,15.09111023,15.65625,17.16505051,18.55450058,18.93063927,18.7105999,17.47344971,16.62562943,15.41133976,14.61970043,7.556197,14.05729961,14.11583042,14.53835964,14.70576
Curacao,Female,6.335726,6.746629,6.808572,7.001296,7.073396,7.128346,6.915052,7.1397,7.40053,7.451479,7.6110217,7.518429,18.3158493,7.556197,7.85218,7.693972,7.708672,7.138186
Cyprus,Female,12.7055397,13.16119957,13.44443035,13.55107021,13.61229038,13.64060974,13.7915802,14.09547043,14.50000954,13.77460003,13.86723995,14.0336504,14.31682968,14.69701958,14.95707989,14.99038982,15.39406967,15.43400002
Czech Republic,Female,14.42539978,14.71137047,14.98377991,14.7351799,15.05877972,15.28931999,15.63360977,15.87065029,16.33971977,16.5335598,16.60523987,16.61547089,17.36174011,17.50791931,17.64036942,17.58605003,17.52742004,16.80294991
Denmark,Female,17.14801979,16.90040016,6.808572,17.27529907,17.49815941,17.34132004,17.47019958,17.45161057,17.48279953,17.58563995,19.0702095,19.33440018,19.84823036,19.9616909,20.07534027,19.77944946,19.55324936,19.43767929
Djibouti,Female,2.795730114,2.954339981,6.808572,3.479880095,3.736259937,3.887439966,4.453780174,4.882190228,5.264910221,7.451479,6.450369835,7.518429,7.347691,7.556197,7.85218,7.693972,7.708672,7.138186
Dominica,Female,6.335726,6.746629,6.808572,7.001296,7.073396,7.128346,6.915052,7.1397,7.40053,7.451479,7.6110217,7.518429,7.347691,7.556197,7.85218,7.693972,7.708672,7.138186
Dominican Republic,Female,6.335726,6.746629,6.808572,7.001296,7.073396,7.128346,6.915052,7.1397,7.40053,7.451479,7.6110217,14.11211967,7.347691,14.24742031,14.72986984,14.81441021,14.98606968,7.138186
