Location,Fatalities,Injured,Total victims
"Edinboro, Pennsylvania",1,3,4
"Jonesboro, Arkansas",5,10,15
"Jonesboro, Arkansas",5,10,15
"Newington, Connecticut",5,1,6
"Newington, Connecticut",5,0,4
"Milwaukee, Wisconsin",2,2,3
"Orange, California",5,2,7
"Orange, California",5,2,6
"West Paducah, Kentucky",3,5,8
"Pearl, Mississippi",2,7,9
"Aiken, South Carolina",4,3,7
"Aiken, South Carolina",4,3,7
"Bethel, Alaska",2,2,4
"San Diego, California",3,0,3
"Fort Lauderdale, Florida",6,1,7
"Fort Lauderdale, Florida",7,0,6
"Moses Lake, Washington",3,1,4
"Lynnville, Tennessee",2,1,3
"Corpus Christi, Texas",6,0,6
"Corpus Christi, Texas",6,0,5
"Montclair, New Jersey",4,1,5
"Chapel Hill, North Carolina",2,2,4
"Brookline, Massachusetts",2,5,7
"Wickliffe, Ohio",1,3,4
"Fairchild Air Force Base, Washington",5,23,28
"Fairchild Air Force Base, Washington",5,23,27
"Union, Kentucky",4,0,4
"Chelsea, Michigan",1,2,3
"Aurora, Colorado",4,1,5
"Aurora, Colorado",4,1,5
"Garden City, New York",6,19,25
"Garden City, New York",6,19,25
"Sheridan, Wyoming",1,4,4
"Fayetteville, North Carolina",4,8,12
"Fayetteville, North Carolina",4,8,12
"Ogden, Utah",1,3,3
"San Francisco, California",9,6,15
"San Francisco, California",9,6,14
"Dearborn, Michigan",2,2,3
"Dana Point, California",1,5,6
"Great Barrington, Massachusetts",2,4,6
"Watkins Glen, New York",5,0,5
"Watkins Glen, New York",5,0,4
"Amarillo, Texas",0,6,6
"Olivehurst, California",4,10,14
"Olivehurst, California",4,10,14
"Royal Oak, Michigan",5,5,10
"Royal Oak, Michigan",5,5,9
"Iowa City, Iowa",6,1,7
"Iowa City, Iowa",6,1,6
"Killeen, Texas",24,20,44
"Killeen, Texas",24,20,43
"Ridgewood, New Jersey",3,0,3
"Phoenix, Arizona",9,0,9
"Jacksonville, Florida",10,4,14
"Jacksonville, Florida",12,6,17
"Louisville, Kentucky",9,12,21
"Louisville, Kentucky",9,12,20
"Escondido, California",4,1,4
"Stockton, California",6,29,35
"Stockton, California",6,30,35
"New Orleans, Louisiana",0,4,4
"Greenwood, South Carolina",2,9,11
"Chicago, Illinois",5,2,6
"Winnetka, Illinois",2,7,8
"Sunnyvale, California",7,4,11
"Sunnyvale, California",7,4,11
"Pinellas Park, Florida",1,2,3
"Palm Bay, Florida",6,14,20
"Palm Bay, Florida",6,14,20
"Lewistown, Montana",1,3,4
