LATITUDE,LONGITUDE,DEATHS
4.69137,95.53677,0
5.53,95.287,0
2.35708,73.35457,0
5.596,95.385,0
2.3575,73.35568,0
5.488,95.267,0
2.35777,73.35563,0
5.487,95.264,0
2.77183,73.4251,0
5.536,95.305,0
2.77225,73.42503,0
5.596,95.385,0
2.77297,73.42533,0
2.77343,73.42473,16
2.77385,73.42442,0
2.77402,73.42363,0
10.7667,79.8333,0
10.7,79.8,2000
5.45777,95.24513,0
5.567,95.343,0
5.566,95.341,0
5.562,95.326,0
5.557,95.32,0
5.59,95.392,0
5.571,95.345,0
5.59,95.392,0
5.566,95.327,0
5.566,95.327,0
5.57,95.334,0
5.565,95.33,0
5.477,95.265,0
5.565,95.312,0
5.631,95.404,0
5.572,95.344,0
5.61,95.397,0
5.556,95.236,0
5.557,95.284,0
5.564,95.235,0
5.556,95.315,0
7.724,81.714,0
5.594,95.371,0
5.575,95.328,0
5.614,95.399,0
4.169,73.506,0
7.919,81.566,0
5.597,95.385,0
4.17,73.513,0
5.596,95.393,0
8.572,81.192,0
5.575,95.341,0
4.17,73.517,0
8.512,81.191,0
5.575,95.342,0
5.574,95.345,0
5.549,95.311,0
8.576,81.237,0
5.548,95.316,0
8.616,81.219,0
5.548,95.315,0
8.725,81.177,0
5.48,95.243,0
5.548,95.314,0
8.677,81.203,0
5.575,95.325,0
5.548,95.313,0
5.564,95.235,0
5.549,95.313,0
5.381,95.26,0
